2026/02/02 22:36:46 [error] 7892#17508: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2026/02/04 12:55:35 [error] 25348#7108: *2 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:55:35 [error] 25348#7108: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:55:44 [error] 25348#7108: *6 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180943633.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180943633.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:55:46 [error] 25348#7108: *5 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180943633.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180943633.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:55:46 [error] 25348#7108: *4 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180943633.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180943633.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:59:19 [error] 14820#22136: *3 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180943633.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180943633.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:59:21 [error] 14820#22136: *2 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180943633.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180943633.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:59:21 [error] 14820#22136: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180943633.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180943633.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:59:26 [error] 14820#22136: *7 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180943633.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "HEAD /videos/1770180943633.mp4 HTTP/1.1", host: "localhost:8026"
2026/02/04 12:59:28 [error] 14820#22136: *5 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180943633.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180943633.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
